    0.0912   9.6262E-01   1.2904E+00   1.5763E+00   1.4205E+00
    0.0923   9.9030E-01   1.3332E+00   1.6324E+00   1.4017E+00
    0.0933   1.0244E+00   1.3775E+00   1.6904E+00   1.3819E+00
    0.0944   1.0650E+00   1.4231E+00   1.7504E+00   1.3612E+00
    0.0955   1.1125E+00   1.4703E+00   1.8123E+00   1.3394E+00
    0.0967   1.1960E+00   1.5325E+00   1.9179E+00   1.3777E+00
    0.0978   1.2520E+00   1.5800E+00   1.9758E+00   1.3415E+00
    0.0989   1.3113E+00   1.6271E+00   2.0299E+00   1.2955E+00
    0.1001   1.3742E+00   1.6738E+00   2.0801E+00   1.2391E+00
    0.1013   1.4406E+00   1.7200E+00   2.1262E+00   1.1722E+00
    0.1024   1.5107E+00   1.7658E+00   2.1681E+00   1.0943E+00
    0.1036   1.5460E+00   1.8418E+00   2.2228E+00   9.8200E-01
    0.1048   1.6561E+00   1.8610E+00   2.2414E+00   9.0039E-01
    0.1061   1.7937E+00   1.8609E+00   2.2449E+00   8.2069E-01
    0.1073   1.9596E+00   1.8410E+00   2.2328E+00   7.4299E-01
    0.1086   2.3367E+00   1.8056E+00   2.1620E+00   6.5070E-01
    0.1098   2.4996E+00   1.7422E+00   2.1316E+00   5.8306E-01
    0.1111   2.6247E+00   1.6549E+00   2.1001E+00   5.2406E-01
    0.1124   2.7106E+00   1.5429E+00   2.0673E+00   4.7402E-01
    0.1137   2.7559E+00   1.4053E+00   2.0334E+00   4.3328E-01
    0.1151   2.6398E+00   1.0909E+00   1.9916E+00   4.2847E-01
    0.1164   2.6318E+00   9.4030E-01   1.9569E+00   4.0022E-01
    0.1178   2.6158E+00   8.0797E-01   1.9229E+00   3.7419E-01
    0.1191   2.5914E+00   6.9463E-01   1.8896E+00   3.5044E-01
    0.1205   2.5584E+00   6.0099E-01   1.8571E+00   3.2906E-01
    0.1219   2.4904E+00   5.6291E-01   1.8285E+00   3.1297E-01
    0.1234   2.4461E+00   5.0146E-01   1.7969E+00   2.9587E-01
    0.1248   2.4012E+00   4.4976E-01   1.7650E+00   2.8046E-01
    0.1263   2.3557E+00   4.0819E-01   1.7329E+00   2.6679E-01
