    0.0912   1.3488E+00   9.0603E-01
    0.0923   1.3663E+00   9.2596E-01
    0.0933   1.3926E+00   9.4331E-01
    0.0944   1.4235E+00   9.5303E-01
    0.0955   1.4544E+00   9.5682E-01
    0.0967   1.4842E+00   9.5671E-01
    0.0978   1.5120E+00   9.5319E-01
    0.0989   1.5360E+00   9.4910E-01
    0.1001   1.5598E+00   9.4879E-01
    0.1013   1.5877E+00   9.4942E-01
    0.1024   1.6203E+00   9.4751E-01
    0.1036   1.6565E+00   9.4003E-01
    0.1048   1.6939E+00   9.2411E-01
    0.1061   1.7271E+00   8.9819E-01
    0.1073   1.7509E+00   8.6643E-01
    0.1086   1.7641E+00   8.3452E-01
    0.1098   1.7686E+00   8.0742E-01
    0.1111   1.7687E+00   7.8871E-01
    0.1124   1.7696E+00   7.7728E-01
    0.1137   1.7735E+00   7.7059E-01
    0.1151   1.7814E+00   7.6631E-01
    0.1164   1.7934E+00   7.6225E-01
    0.1178   1.8090E+00   7.5645E-01
    0.1191   1.8269E+00   7.4706E-01
    0.1205   1.8449E+00   7.3243E-01
    0.1219   1.8589E+00   7.1339E-01
    0.1234   1.8670E+00   6.9383E-01
    0.1248   1.8702E+00   6.7750E-01
    0.1263   1.8721E+00   6.6707E-01
    0.1277   1.8769E+00   6.6064E-01
    0.1292   1.8855E+00   6.5476E-01
    0.1307   1.8964E+00   6.4625E-01
    0.1323   1.9061E+00   6.3463E-01
    0.1338   1.9126E+00   6.2213E-01
    0.1354   1.9153E+00   6.1092E-01
    0.1370   1.9137E+00   6.0394E-01
    0.1386   1.9094E+00   6.0588E-01
    0.1402   1.9081E+00   6.2201E-01
    0.1418   1.9235E+00   6.5338E-01
    0.1435   1.9670E+00   6.8503E-01
    0.1451   2.0364E+00   6.9613E-01
    0.1468   2.1116E+00   6.7282E-01
    0.1486   2.1758E+00   6.2700E-01
    0.1503   2.2398E+00   5.6400E-01
    0.1520   2.2646E+00   4.6110E-01
    0.1538   2.2540E+00   3.7696E-01
    0.1556   2.2260E+00   3.1088E-01
    0.1574   2.1938E+00   2.6069E-01
    0.1593   2.1549E+00   2.1860E-01
    0.1611   2.1066E+00   2.0289E-01
    0.1630   2.0806E+00   2.0040E-01
    0.1649   2.0642E+00   1.9667E-01
    0.1669   2.0536E+00   1.9093E-01
    0.1688   2.0464E+00   1.8224E-01
    0.1708   2.0403E+00   1.6994E-01
    0.1728   2.0324E+00   1.5519E-01
    0.1748   2.0220E+00   1.4070E-01
    0.1768   2.0105E+00   1.2817E-01
    0.1789   1.9993E+00   1.1705E-01
    0.1810   1.9884E+00   1.0641E-01
    0.1831   1.9772E+00   9.6158E-02
    0.1852   1.9656E+00   8.6730E-02
    0.1874   1.9538E+00   7.8397E-02
    0.1896   1.9421E+00   7.1219E-02
    0.1918   1.9308E+00   6.5155E-02
    0.1941   1.9201E+00   5.9917E-02
    0.1963   1.9099E+00   5.5204E-02
    0.1986   1.9002E+00   5.0902E-02
    0.2009   1.8908E+00   4.7011E-02
    0.2033   1.8817E+00   4.3503E-02
    0.2057   1.8730E+00   4.0330E-02
    0.2081   1.8646E+00   3.7461E-02
    0.2105   1.8564E+00   3.4889E-02
    0.2130   1.8484E+00   3.2614E-02
    0.2154   1.8406E+00   3.0650E-02
    0.2180   1.8331E+00   2.9025E-02
    0.2205   1.8257E+00   2.7797E-02
    0.2231   1.8187E+00   2.6984E-02
    0.2257   1.8121E+00   2.6512E-02
    0.2283   1.8059E+00   2.6303E-02
    0.2310   1.8001E+00   2.6271E-02
    0.2337   1.7948E+00   2.6347E-02
    0.2364   1.7897E+00   2.6488E-02
    0.2392   1.7850E+00   2.6664E-02
    0.2420   1.7806E+00   2.6866E-02
    0.2448   1.7765E+00   2.7101E-02
    0.2477   1.7726E+00   2.7374E-02
    0.2506   1.7689E+00   2.7657E-02
    0.2535   1.7655E+00   2.7914E-02
    0.2565   1.7623E+00   2.8136E-02
    0.2594   1.7593E+00   2.8296E-02
    0.2625   1.7565E+00   2.8363E-02
    0.2655   1.7538E+00   2.8355E-02
    0.2686   1.7511E+00   2.8304E-02
    0.2718   1.7485E+00   2.8220E-02
    0.2750   1.7460E+00   2.8140E-02
    0.2782   1.7435E+00   2.8111E-02
    0.2814   1.7410E+00   2.8119E-02
    0.2847   1.7387E+00   2.8155E-02
    0.2880   1.7365E+00   2.8219E-02
    0.2914   1.7344E+00   2.8290E-02
    0.2948   1.7324E+00   2.8354E-02
    0.2983   1.7305E+00   2.8415E-02
    0.3017   1.7287E+00   2.8471E-02
    0.3053   1.7269E+00   2.8522E-02
    0.3088   1.7252E+00   2.8567E-02
    0.3124   1.7236E+00   2.8606E-02
    0.3161   1.7220E+00   2.8638E-02
    0.3198   1.7205E+00   2.8664E-02
    0.3235   1.7190E+00   2.8684E-02
    0.3273   1.7176E+00   2.8701E-02
    0.3311   1.7162E+00   2.8718E-02
    0.3350   1.7149E+00   2.8734E-02
    0.3389   1.7136E+00   2.8750E-02
    0.3429   1.7124E+00   2.8767E-02
    0.3469   1.7112E+00   2.8785E-02
    0.3509   1.7101E+00   2.8803E-02
    0.3550   1.7089E+00   2.8822E-02
    0.3592   1.7079E+00   2.8843E-02
    0.3634   1.7068E+00   2.8864E-02
    0.3676   1.7058E+00   2.8887E-02
    0.3719   1.7049E+00   2.8910E-02
    0.3763   1.7040E+00   2.8933E-02
    0.3807   1.7031E+00   2.8956E-02
    0.3851   1.7022E+00   2.8978E-02
    0.3896   1.7014E+00   2.8999E-02
    0.3942   1.7006E+00   2.9019E-02
