    0.0912   1.3595E+00   1.0583E+00
    0.0923   1.3842E+00   1.0593E+00
    0.0933   1.4091E+00   1.0592E+00
    0.0944   1.4340E+00   1.0581E+00
    0.0955   1.4590E+00   1.0557E+00
    0.0967   1.4840E+00   1.0521E+00
    0.0978   1.5087E+00   1.0471E+00
    0.0989   1.5330E+00   1.0408E+00
    0.1001   1.5566E+00   1.0330E+00
    0.1013   1.5792E+00   1.0245E+00
    0.1024   1.6016E+00   1.0137E+00
    0.1036   1.6206E+00   1.0037E+00
    0.1048   1.6395E+00   9.9383E-01
    0.1061   1.6579E+00   9.8396E-01
    0.1073   1.6758E+00   9.7409E-01
    0.1086   1.6938E+00   9.6438E-01
    0.1098   1.7115E+00   9.5420E-01
    0.1111   1.7289E+00   9.4385E-01
    0.1124   1.7457E+00   9.3389E-01
    0.1137   1.7644E+00   9.2336E-01
    0.1151   1.7826E+00   9.1138E-01
    0.1164   1.8005E+00   8.9842E-01
    0.1178   1.8181E+00   8.8454E-01
    0.1191   1.8352E+00   8.6957E-01
    0.1205   1.8517E+00   8.5353E-01
    0.1219   1.8675E+00   8.3645E-01
    0.1234   1.8820E+00   8.1699E-01
    0.1248   1.8944E+00   7.9838E-01
    0.1263   1.9060E+00   7.7919E-01
    0.1277   1.9166E+00   7.5931E-01
    0.1292   1.9256E+00   7.3919E-01
    0.1307   1.9336E+00   7.1873E-01
    0.1323   1.9405E+00   6.9782E-01
    0.1338   1.9451E+00   6.7644E-01
    0.1354   1.9485E+00   6.5543E-01
    0.1370   1.9506E+00   6.3452E-01
    0.1386   1.9502E+00   6.1275E-01
    0.1402   1.9480E+00   5.9271E-01
    0.1418   1.9443E+00   5.7344E-01
    0.1435   1.9387E+00   5.5384E-01
    0.1451   1.9305E+00   5.3722E-01
    0.1468   1.9214E+00   5.2236E-01
    0.1486   1.9112E+00   5.0920E-01
    0.1503   1.9002E+00   4.9843E-01
    0.1520   1.8885E+00   4.9009E-01
    0.1538   1.8779E+00   4.8405E-01
    0.1556   1.8673E+00   4.7932E-01
    0.1574   1.8568E+00   4.7693E-01
    0.1593   1.8478E+00   4.7545E-01
    0.1611   1.8390E+00   4.7509E-01
    0.1630   1.8310E+00   4.7647E-01
    0.1649   1.8239E+00   4.7821E-01
    0.1669   1.8175E+00   4.8073E-01
    0.1688   1.8093E+00   4.8343E-01
    0.1708   1.8016E+00   4.8950E-01
    0.1728   1.7949E+00   4.9760E-01
    0.1748   1.7883E+00   5.0912E-01
    0.1768   1.7833E+00   5.2523E-01
    0.1789   1.7880E+00   5.4534E-01
    0.1810   1.7964E+00   5.6291E-01
    0.1831   1.8091E+00   5.8255E-01
    0.1852   1.8315E+00   5.9506E-01
    0.1874   1.8555E+00   6.0074E-01
    0.1896   1.8776E+00   6.0125E-01
    0.1918   1.9005E+00   5.9759E-01
    0.1941   1.9176E+00   5.8889E-01
    0.1963   1.9334E+00   5.8116E-01
    0.1986   1.9477E+00   5.7249E-01
    0.2009   1.9609E+00   5.6353E-01
    0.2033   1.9736E+00   5.5447E-01
    0.2057   1.9861E+00   5.4412E-01
    0.2081   1.9977E+00   5.3275E-01
    0.2105   2.0085E+00   5.2032E-01
    0.2130   2.0182E+00   5.0655E-01
    0.2154   2.0260E+00   4.9223E-01
    0.2180   2.0326E+00   4.7730E-01
    0.2205   2.0372E+00   4.6216E-01
    0.2231   2.0403E+00   4.4678E-01
    0.2257   2.0414E+00   4.3216E-01
    0.2283   2.0411E+00   4.1791E-01
    0.2310   2.0390E+00   4.0501E-01
    0.2337   2.0359E+00   3.9340E-01
    0.2364   2.0321E+00   3.8338E-01
    0.2392   2.0280E+00   3.7503E-01
    0.2420   2.0240E+00   3.6793E-01
    0.2448   2.0206E+00   3.6227E-01
    0.2477   2.0175E+00   3.5738E-01
    0.2506   2.0152E+00   3.5316E-01
    0.2535   2.0134E+00   3.4969E-01
    0.2565   2.0125E+00   3.4638E-01
    0.2594   2.0123E+00   3.4331E-01
    0.2625   2.0128E+00   3.4016E-01
    0.2655   2.0140E+00   3.3665E-01
    0.2686   2.0157E+00   3.3278E-01
    0.2718   2.0177E+00   3.2828E-01
    0.2750   2.0198E+00   3.2314E-01
    0.2782   2.0219E+00   3.1726E-01
    0.2814   2.0236E+00   3.1074E-01
    0.2847   2.0249E+00   3.0354E-01
    0.2880   2.0255E+00   2.9585E-01
    0.2914   2.0253E+00   2.8786E-01
    0.2948   2.0240E+00   2.7960E-01
    0.2983   2.0217E+00   2.7149E-01
    0.3017   2.0182E+00   2.6396E-01
    0.3053   2.0137E+00   2.5707E-01
    0.3088   2.0085E+00   2.5135E-01
    0.3124   2.0028E+00   2.4702E-01
    0.3161   1.9974E+00   2.4393E-01
    0.3198   1.9923E+00   2.4196E-01
    0.3235   1.9879E+00   2.4089E-01
    0.3273   1.9843E+00   2.4010E-01
    0.3311   1.9813E+00   2.3955E-01
    0.3350   1.9787E+00   2.3911E-01
    0.3389   1.9765E+00   2.3875E-01
    0.3429   1.9747E+00   2.3837E-01
    0.3469   1.9730E+00   2.3801E-01
    0.3509   1.9717E+00   2.3767E-01
    0.3550   1.9706E+00   2.3727E-01
    0.3592   1.9696E+00   2.3680E-01
    0.3634   1.9687E+00   2.3629E-01
    0.3676   1.9678E+00   2.3579E-01
    0.3719   1.9670E+00   2.3531E-01
    0.3763   1.9663E+00   2.3486E-01
    0.3807   1.9657E+00   2.3443E-01
    0.3851   1.9651E+00   2.3405E-01
    0.3896   1.9646E+00   2.3370E-01
    0.3942   1.9642E+00   2.3339E-01
