   WAVE          FLUX
    cm        erg/s/cm^3
9.097347e-05 7.936961e+13
9.203644e-05 1.297758e+14
9.311183e-05 1.300990e+14
9.419979e-05 8.211873e+13
9.530046e-05 1.270517e+14
9.641398e-05 1.243649e+14
9.754052e-05 1.227869e+14
9.868023e-05 1.210217e+14
9.983324e-05 1.075002e+14
1.009997e-04 9.653377e+13
1.021799e-04 1.151528e+14
1.033738e-04 1.129403e+14
1.045816e-04 8.035912e+13
1.058036e-04 8.070632e+13
1.070398e-04 9.747001e+13
1.082905e-04 1.012815e+14
1.095559e-04 1.008249e+14
1.108359e-04 9.951797e+13
1.121310e-04 9.923294e+13
1.134412e-04 8.850538e+13
1.147667e-04 9.323182e+13
1.161076e-04 1.183857e+13
1.174643e-04 9.177283e+13
1.188368e-04 9.066037e+13
1.202253e-04 8.773260e+13
1.216301e-04 8.759900e+13
1.230513e-04 8.591121e+13
1.244890e-04 8.322313e+13
1.259436e-04 6.018524e+13
1.274152e-04 8.119979e+13
1.289040e-04 7.975658e+13
1.304101e-04 7.541521e+13
1.319339e-04 7.654199e+13
1.334755e-04 6.654982e+13
1.350350e-04 3.404480e+13
1.366128e-04 7.034517e+13
1.382091e-04 7.202219e+13
1.398240e-04 6.912481e+13
1.414577e-04 6.760626e+13
1.431106e-04 4.364835e+13
1.447827e-04 6.594074e+13
1.464744e-04 4.188094e+13
1.481859e-04 5.052715e+13
1.499174e-04 6.450963e+13
1.516691e-04 5.998305e+13
1.534412e-04 6.055993e+13
1.552341e-04 5.785490e+13
1.570479e-04 4.808543e+13
1.588829e-04 5.800451e+13
1.607394e-04 3.982842e+13
1.626175e-04 5.525351e+13
1.645176e-04 5.400632e+13
1.664399e-04 5.220554e+13
1.683846e-04 4.961330e+13
1.703521e-04 4.114774e+13
1.723426e-04 3.699603e+13
1.743563e-04 4.326281e+13
1.763935e-04 4.230308e+13
1.784546e-04 3.971692e+13
1.805397e-04 3.767871e+13
1.826492e-04 3.816242e+13
1.847834e-04 3.652782e+13
1.869424e-04 3.501416e+13
1.891267e-04 3.385634e+13
1.913366e-04 3.179410e+13
1.935722e-04 3.124446e+13
1.958340e-04 3.006768e+13
1.981222e-04 2.859067e+13
2.004371e-04 2.480023e+13
2.027791e-04 2.658197e+13
2.051485e-04 2.533967e+13
2.075455e-04 2.418756e+13
2.099706e-04 2.177452e+13
2.124239e-04 2.240930e+13
2.149060e-04 2.136995e+13
2.174170e-04 2.021106e+13
2.199574e-04 2.001563e+13
2.225275e-04 1.920008e+13
2.251276e-04 1.837773e+13
2.277581e-04 1.747949e+13
2.304193e-04 1.550993e+13
2.331116e-04 5.244506e+12
2.358353e-04 1.416190e+13
2.385909e-04 4.806920e+12
2.413787e-04 5.519864e+12
2.441991e-04 1.386601e+13
2.470524e-04 5.374985e+12
2.499391e-04 8.097746e+12
2.528595e-04 1.209036e+13
2.558140e-04 1.152249e+13
2.588030e-04 6.210884e+12
2.618270e-04 7.809128e+12
2.648862e-04 1.029920e+13
2.679813e-04 9.646217e+12
2.711125e-04 7.357927e+12
2.742803e-04 9.098177e+12
2.774851e-04 7.020914e+12
2.807273e-04 8.177996e+12
2.840074e-04 6.170283e+12
2.873259e-04 7.576316e+12
2.906831e-04 7.372437e+12
2.940796e-04 6.868396e+12
2.975157e-04 6.755943e+12
3.009920e-04 6.070351e+12
3.045089e-04 6.136741e+12
3.080669e-04 5.821010e+12
3.116665e-04 5.536301e+12
3.153081e-04 5.438285e+12
3.189923e-04 5.224493e+12
3.227195e-04 5.012974e+12
3.264903e-04 4.810445e+12
3.303052e-04 4.607133e+12
3.341646e-04 4.395520e+12
3.380691e-04 4.224421e+12
3.420192e-04 4.051016e+12
3.460155e-04 3.496123e+12
3.500585e-04 3.530224e+12
3.541487e-04 3.483687e+12
3.582867e-04 3.405821e+12
3.624731e-04 3.260947e+12
3.667084e-04 3.107488e+12
3.709931e-04 2.989128e+12
3.753279e-04 2.860776e+12
3.797134e-04 2.724304e+12
3.841501e-04 2.619994e+12
3.886387e-04 2.512796e+12
3.931797e-04 2.402675e+12
3.977738e-04 2.243853e+12
4.024215e-04 2.171735e+12
4.071236e-04 1.775440e+12
4.118806e-04 1.997678e+12
4.166931e-04 1.921545e+12
4.215620e-04 1.845209e+12
4.264876e-04 1.746372e+12
4.314709e-04 1.693012e+12
4.365124e-04 7.966508e+11
4.416128e-04 8.112674e+11
4.467727e-04 1.477457e+12
4.519930e-04 1.021475e+12
4.572743e-04 1.331731e+12
4.626172e-04 6.627817e+11
4.680226e-04 8.287822e+11
4.734912e-04 1.155426e+12
4.790237e-04 7.577972e+11
4.846208e-04 1.001698e+12
4.902833e-04 5.101186e+11
4.960119e-04 7.361073e+11
5.018075e-04 8.022982e+11
5.076708e-04 9.016231e+11
5.136027e-04 6.223738e+11
5.196038e-04 8.107073e+11
5.256750e-04 7.946787e+11
5.318172e-04 4.571583e+11
5.380312e-04 6.594620e+11
5.443178e-04 4.860650e+11
5.506778e-04 0.000000e+00
5.571121e-04 0.000000e+00
5.636216e-04 0.000000e+00
5.702072e-04 0.000000e+00
5.768697e-04 0.000000e+00
5.836101e-04 0.000000e+00
5.904292e-04 0.000000e+00
5.973281e-04 0.000000e+00
6.043075e-04 0.000000e+00
6.113684e-04 0.000000e+00
6.185119e-04 0.000000e+00
6.257388e-04 0.000000e+00
6.330502e-04 0.000000e+00
6.404470e-04 0.000000e+00
6.479303e-04 0.000000e+00
6.555009e-04 0.000000e+00
6.631601e-04 0.000000e+00
6.709087e-04 0.000000e+00
6.787479e-04 0.000000e+00
6.866786e-04 0.000000e+00
6.947020e-04 0.000000e+00
7.028192e-04 0.000000e+00
7.110312e-04 0.000000e+00
7.193392e-04 0.000000e+00
7.277442e-04 0.000000e+00
7.362475e-04 0.000000e+00
7.448501e-04 0.000000e+00
7.535532e-04 0.000000e+00
7.623580e-04 0.000000e+00
7.712657e-04 0.000000e+00
7.802775e-04 0.000000e+00
7.893945e-04 0.000000e+00
7.986181e-04 0.000000e+00
8.079495e-04 0.000000e+00
8.173899e-04 0.000000e+00
8.269406e-04 0.000000e+00
8.366029e-04 0.000000e+00
8.463781e-04 0.000000e+00
8.562675e-04 0.000000e+00
8.662725e-04 0.000000e+00
8.763944e-04 0.000000e+00
8.866345e-04 0.000000e+00
8.969943e-04 0.000000e+00
9.074751e-04 0.000000e+00
9.180784e-04 0.000000e+00
9.288056e-04 0.000000e+00
9.396581e-04 0.000000e+00
9.506375e-04 0.000000e+00
9.617451e-04 0.000000e+00
9.729825e-04 0.000000e+00
9.843512e-04 0.000000e+00
9.958527e-04 0.000000e+00
1.007489e-03 0.000000e+00
1.019261e-03 0.000000e+00
1.031170e-03 0.000000e+00
1.043219e-03 0.000000e+00
1.055408e-03 0.000000e+00
1.067740e-03 0.000000e+00
1.080216e-03 0.000000e+00
1.092837e-03 0.000000e+00
1.105606e-03 0.000000e+00
1.118525e-03 0.000000e+00
1.131594e-03 0.000000e+00
1.144816e-03 0.000000e+00
1.158193e-03 0.000000e+00
1.171725e-03 0.000000e+00
1.185416e-03 0.000000e+00
1.199267e-03 0.000000e+00
1.213280e-03 0.000000e+00
1.227456e-03 0.000000e+00
1.241798e-03 0.000000e+00
1.256308e-03 0.000000e+00
1.270987e-03 0.000000e+00
1.285838e-03 0.000000e+00
1.300862e-03 0.000000e+00
1.316062e-03 0.000000e+00
1.331439e-03 0.000000e+00
1.346996e-03 0.000000e+00
1.362735e-03 0.000000e+00
1.378658e-03 0.000000e+00
1.394767e-03 0.000000e+00
1.411064e-03 0.000000e+00
1.427551e-03 0.000000e+00
1.444231e-03 0.000000e+00
1.461106e-03 0.000000e+00
1.478178e-03 0.000000e+00
1.495450e-03 0.000000e+00
1.512923e-03 0.000000e+00
1.530601e-03 0.000000e+00
1.548485e-03 0.000000e+00
1.566578e-03 0.000000e+00
1.584883e-03 0.000000e+00
1.603401e-03 0.000000e+00
1.622136e-03 0.000000e+00
1.641090e-03 0.000000e+00
1.660265e-03 0.000000e+00
1.679664e-03 0.000000e+00
1.699290e-03 0.000000e+00
1.719145e-03 0.000000e+00
1.739232e-03 0.000000e+00
1.759554e-03 0.000000e+00
1.780113e-03 0.000000e+00
1.800913e-03 0.000000e+00
1.821955e-03 0.000000e+00
1.843244e-03 0.000000e+00
1.864781e-03 0.000000e+00
1.886570e-03 0.000000e+00
1.908613e-03 0.000000e+00
1.930914e-03 0.000000e+00
1.953476e-03 0.000000e+00
1.976301e-03 0.000000e+00
1.999393e-03 0.000000e+00
2.022755e-03 0.000000e+00
2.046389e-03 0.000000e+00
2.070300e-03 0.000000e+00
2.094490e-03 0.000000e+00
2.118963e-03 0.000000e+00
2.143722e-03 0.000000e+00
2.168770e-03 0.000000e+00
2.194111e-03 0.000000e+00
2.219748e-03 0.000000e+00
2.245684e-03 0.000000e+00
2.271923e-03 0.000000e+00
2.298469e-03 0.000000e+00
2.325326e-03 0.000000e+00
2.352496e-03 0.000000e+00
2.379983e-03 0.000000e+00
2.407792e-03 0.000000e+00
2.435925e-03 0.000000e+00
2.464388e-03 0.000000e+00
2.493183e-03 0.000000e+00
2.522314e-03 0.000000e+00
2.551786e-03 0.000000e+00
2.581602e-03 0.000000e+00
2.611766e-03 0.000000e+00
2.642283e-03 0.000000e+00
2.673157e-03 0.000000e+00
2.704391e-03 0.000000e+00
2.735990e-03 0.000000e+00
2.767958e-03 0.000000e+00
2.800300e-03 0.000000e+00
2.833020e-03 0.000000e+00
2.866122e-03 0.000000e+00
2.899611e-03 0.000000e+00
2.933491e-03 0.000000e+00
2.967767e-03 0.000000e+00
3.002444e-03 0.000000e+00
3.037526e-03 0.000000e+00
3.073017e-03 0.000000e+00
3.108924e-03 0.000000e+00
3.145249e-03 0.000000e+00
3.182000e-03 0.000000e+00
3.219180e-03 0.000000e+00
3.256794e-03 0.000000e+00
3.294847e-03 0.000000e+00
3.333346e-03 0.000000e+00
3.372294e-03 0.000000e+00
3.411697e-03 0.000000e+00
3.451561e-03 0.000000e+00
3.491890e-03 0.000000e+00
3.532691e-03 0.000000e+00
3.573968e-03 0.000000e+00
3.615728e-03 0.000000e+00
3.657975e-03 0.000000e+00
3.700716e-03 0.000000e+00
3.743957e-03 0.000000e+00
3.787703e-03 0.000000e+00
3.831960e-03 0.000000e+00
3.876734e-03 0.000000e+00
3.922031e-03 0.000000e+00
3.967858e-03 0.000000e+00
4.014220e-03 0.000000e+00
4.061124e-03 0.000000e+00
4.108575e-03 0.000000e+00
4.156581e-03 0.000000e+00
4.205149e-03 0.000000e+00
4.254283e-03 0.000000e+00
4.303992e-03 0.000000e+00
4.354281e-03 0.000000e+00
4.405159e-03 0.000000e+00
4.456630e-03 0.000000e+00
4.508703e-03 0.000000e+00
4.561385e-03 0.000000e+00
4.614682e-03 0.000000e+00
4.668601e-03 0.000000e+00
4.723151e-03 0.000000e+00
4.778338e-03 0.000000e+00
4.834170e-03 0.000000e+00
4.890655e-03 0.000000e+00
4.947799e-03 0.000000e+00
5.005611e-03 0.000000e+00
5.064099e-03 0.000000e+00
5.123270e-03 0.000000e+00
5.183132e-03 0.000000e+00
5.243694e-03 0.000000e+00
5.304963e-03 0.000000e+00
5.366948e-03 0.000000e+00
5.429658e-03 0.000000e+00
5.493100e-03 0.000000e+00
5.557284e-03 0.000000e+00
5.622217e-03 0.000000e+00
5.687909e-03 0.000000e+00
5.754369e-03 0.000000e+00
5.821605e-03 0.000000e+00
5.889627e-03 0.000000e+00
5.958444e-03 0.000000e+00
6.028065e-03 0.000000e+00
6.098499e-03 0.000000e+00
6.169756e-03 0.000000e+00
6.241846e-03 0.000000e+00
6.314778e-03 0.000000e+00
6.388563e-03 0.000000e+00
6.463209e-03 0.000000e+00
6.538728e-03 0.000000e+00
6.615129e-03 0.000000e+00
6.692423e-03 0.000000e+00
6.770620e-03 0.000000e+00
6.849730e-03 0.000000e+00
6.929765e-03 0.000000e+00
7.010735e-03 0.000000e+00
7.092651e-03 0.000000e+00
7.175525e-03 0.000000e+00
7.259366e-03 0.000000e+00
7.344188e-03 0.000000e+00
7.430000e-03 0.000000e+00
7.516815e-03 0.000000e+00
7.604644e-03 0.000000e+00
7.693500e-03 0.000000e+00
7.783394e-03 0.000000e+00
7.874338e-03 0.000000e+00
7.966345e-03 0.000000e+00
8.059427e-03 0.000000e+00
8.153596e-03 0.000000e+00
8.248866e-03 0.000000e+00
8.345249e-03 0.000000e+00
8.442758e-03 0.000000e+00
8.541407e-03 0.000000e+00
8.641208e-03 0.000000e+00
8.742175e-03 0.000000e+00
8.844322e-03 0.000000e+00
8.947663e-03 0.000000e+00
9.052211e-03 0.000000e+00
9.157980e-03 0.000000e+00
9.264986e-03 0.000000e+00
9.373242e-03 0.000000e+00
9.482762e-03 0.000000e+00
9.593563e-03 0.000000e+00
9.705658e-03 0.000000e+00
9.819062e-03 0.000000e+00
9.933792e-03 0.000000e+00
1.004986e-02 0.000000e+00
1.016729e-02 0.000000e+00
1.028609e-02 0.000000e+00
1.040627e-02 0.000000e+00
1.052787e-02 0.000000e+00
1.065088e-02 0.000000e+00
1.077533e-02 0.000000e+00
1.090123e-02 0.000000e+00
1.102860e-02 0.000000e+00
1.115747e-02 0.000000e+00
1.128783e-02 0.000000e+00
1.141973e-02 0.000000e+00
1.155316e-02 0.000000e+00
1.168815e-02 0.000000e+00
1.182472e-02 0.000000e+00
1.196288e-02 0.000000e+00
1.210266e-02 0.000000e+00
1.224407e-02 0.000000e+00
1.238714e-02 0.000000e+00
1.253188e-02 0.000000e+00
1.267830e-02 0.000000e+00
1.282644e-02 0.000000e+00
1.297631e-02 0.000000e+00
1.312793e-02 0.000000e+00
1.328132e-02 0.000000e+00
1.343651e-02 0.000000e+00
1.359350e-02 0.000000e+00
1.375234e-02 0.000000e+00
1.391302e-02 0.000000e+00
1.407559e-02 0.000000e+00
1.424005e-02 0.000000e+00
1.440644e-02 0.000000e+00
1.457477e-02 0.000000e+00
1.474507e-02 0.000000e+00
1.491735e-02 0.000000e+00
1.509166e-02 0.000000e+00
1.526799e-02 0.000000e+00
1.544639e-02 0.000000e+00
1.562687e-02 0.000000e+00
1.580946e-02 0.000000e+00
1.599419e-02 0.000000e+00
1.618107e-02 0.000000e+00
1.637013e-02 0.000000e+00
1.656141e-02 0.000000e+00
1.675492e-02 0.000000e+00
1.695069e-02 0.000000e+00
1.714875e-02 0.000000e+00
1.734912e-02 0.000000e+00
1.755183e-02 0.000000e+00
1.775692e-02 0.000000e+00
1.796440e-02 0.000000e+00
1.817430e-02 0.000000e+00
1.838665e-02 0.000000e+00
1.860149e-02 0.000000e+00
1.881884e-02 0.000000e+00
1.903873e-02 0.000000e+00
1.926118e-02 0.000000e+00
1.948624e-02 0.000000e+00
1.971392e-02 0.000000e+00
1.994427e-02 0.000000e+00
2.017730e-02 0.000000e+00
2.041306e-02 0.000000e+00
2.065158e-02 0.000000e+00
2.089288e-02 0.000000e+00
2.113700e-02 0.000000e+00
2.138397e-02 0.000000e+00
2.163383e-02 0.000000e+00
2.188661e-02 0.000000e+00
2.214234e-02 0.000000e+00
2.240106e-02 0.000000e+00
2.266280e-02 0.000000e+00
2.292760e-02 0.000000e+00
2.319550e-02 0.000000e+00
2.346652e-02 0.000000e+00
2.374072e-02 0.000000e+00
2.401811e-02 0.000000e+00
2.429875e-02 0.000000e+00
2.458267e-02 0.000000e+00
2.486990e-02 0.000000e+00
2.516049e-02 0.000000e+00
2.545447e-02 0.000000e+00
2.575189e-02 0.000000e+00
2.605279e-02 0.000000e+00
2.635720e-02 0.000000e+00
2.666517e-02 0.000000e+00
2.697673e-02 0.000000e+00
2.729194e-02 0.000000e+00
2.761083e-02 0.000000e+00
2.793345e-02 0.000000e+00
2.825983e-02 0.000000e+00
2.859003e-02 0.000000e+00
2.892409e-02 0.000000e+00
2.926205e-02 0.000000e+00
2.960396e-02 0.000000e+00
2.994986e-02 0.000000e+00
3.029981e-02 0.000000e+00
3.065384e-02 0.000000e+00
3.101202e-02 0.000000e+00
3.137437e-02 0.000000e+00
3.174096e-02 0.000000e+00
3.211184e-02 0.000000e+00
3.248704e-02 0.000000e+00
3.286663e-02 0.000000e+00
3.325066e-02 0.000000e+00
3.363918e-02 0.000000e+00
3.403223e-02 0.000000e+00
3.442987e-02 0.000000e+00
3.483217e-02 0.000000e+00
3.523916e-02 0.000000e+00
3.565091e-02 0.000000e+00
3.606747e-02 0.000000e+00
3.648889e-02 0.000000e+00
3.691524e-02 0.000000e+00
