   WAVE          FLUX
    cm        erg/s/cm^3
5.456731e-05 1.719084e+12
5.520490e-05 5.396539e+12
5.584993e-05 4.456650e+12
5.650251e-05 2.251729e+12
5.716270e-05 5.318460e+12
5.783062e-05 4.395947e+12
5.850633e-05 2.428189e+12
5.918994e-05 1.760786e+12
5.988154e-05 3.002240e+12
6.058122e-05 7.112424e+12
6.128908e-05 7.084978e+12
6.200520e-05 2.849861e+12
6.272969e-05 2.296333e+12
6.346265e-05 5.039707e+12
6.420418e-05 5.713058e+12
6.495436e-05 4.061656e+12
6.571331e-05 7.416246e+12
6.648113e-05 7.605982e+12
6.725793e-05 3.010664e+12
6.804379e-05 4.978957e+12
6.883885e-05 6.910621e+12
6.964319e-05 1.301649e+13
7.045692e-05 3.014978e+13
7.128017e-05 2.754887e+12
7.211304e-05 4.851773e+12
7.295563e-05 1.771836e+13
7.380807e-05 3.645196e+13
7.467048e-05 3.765399e+13
7.554296e-05 4.436879e+13
7.642563e-05 2.763142e+13
7.731862e-05 1.453250e+13
7.822204e-05 2.059997e+13
7.913602e-05 2.492911e+13
8.006067e-05 3.411414e+13
8.099613e-05 3.951766e+13
8.194252e-05 4.604226e+13
8.289997e-05 3.364008e+13
8.386861e-05 3.758735e+13
8.484856e-05 2.438971e+13
8.583996e-05 3.478599e+13
8.684295e-05 4.164383e+13
8.785766e-05 4.548515e+13
8.888422e-05 3.310247e+13
8.992278e-05 3.785559e+13
9.097347e-05 4.148690e+13
9.203644e-05 5.025335e+13
9.311183e-05 4.288603e+13
9.419979e-05 3.918936e+13
9.530046e-05 4.051036e+13
9.641398e-05 3.563389e+13
9.754052e-05 4.690895e+13
9.868023e-05 4.187292e+13
9.983324e-05 4.957453e+13
1.009997e-04 4.790157e+13
1.021799e-04 4.994695e+13
1.033738e-04 5.075318e+13
1.045816e-04 4.538562e+13
1.058036e-04 3.835789e+13
1.070398e-04 4.976354e+13
1.082905e-04 4.947542e+13
1.095559e-04 3.560748e+13
1.108359e-04 4.762392e+13
1.121310e-04 4.741487e+13
1.134412e-04 4.659909e+13
1.147667e-04 4.114893e+13
1.161076e-04 1.150404e+13
1.174643e-04 4.832940e+13
1.188368e-04 4.579656e+13
1.202253e-04 4.728110e+13
1.216301e-04 4.629198e+13
1.230513e-04 4.188058e+13
1.244890e-04 4.558382e+13
1.259436e-04 4.362069e+13
1.274152e-04 2.536350e+13
1.289040e-04 4.633762e+13
1.304101e-04 4.591129e+13
1.319339e-04 4.432587e+13
1.334755e-04 4.403160e+13
1.350350e-04 2.712281e+13
1.366128e-04 4.608351e+13
1.382091e-04 4.695035e+13
1.398240e-04 4.391784e+13
1.414577e-04 4.622745e+13
1.431106e-04 3.726599e+13
1.447827e-04 4.593278e+13
1.464744e-04 3.793025e+13
1.481859e-04 3.399190e+13
1.499174e-04 4.372912e+13
1.516691e-04 2.597315e+13
1.534412e-04 4.438751e+13
1.552341e-04 4.687546e+13
1.570479e-04 4.912627e+13
1.588829e-04 3.942485e+13
1.607394e-04 1.859627e+13
1.626175e-04 4.841014e+13
1.645176e-04 4.167993e+13
1.664399e-04 4.906815e+13
1.683846e-04 4.270631e+13
1.703521e-04 4.322724e+13
1.723426e-04 3.026328e+13
1.743563e-04 3.766213e+13
1.763935e-04 4.274658e+13
1.784546e-04 3.324240e+13
1.805397e-04 2.756486e+13
1.826492e-04 3.581079e+13
1.847834e-04 3.545489e+13
1.869424e-04 2.929047e+13
1.891267e-04 3.060030e+13
1.913366e-04 3.152044e+13
1.935722e-04 3.105068e+13
1.958340e-04 3.041301e+13
1.981222e-04 2.385419e+13
2.004371e-04 2.786873e+13
2.027791e-04 2.448728e+13
2.051485e-04 2.488455e+13
2.075455e-04 1.951477e+13
2.099706e-04 1.753268e+13
2.124239e-04 2.265822e+13
2.149060e-04 1.891811e+13
2.174170e-04 1.849742e+13
2.199574e-04 1.946974e+13
2.225275e-04 1.973325e+13
2.251276e-04 1.773390e+13
2.277581e-04 1.764153e+13
2.304193e-04 1.741543e+13
2.331116e-04 5.431149e+12
2.358353e-04 4.861920e+12
2.385909e-04 4.553858e+12
2.413787e-04 4.811469e+12
2.441991e-04 1.212477e+13
2.470524e-04 5.214189e+12
2.499391e-04 8.812887e+12
2.528595e-04 1.097331e+13
2.558140e-04 1.004244e+13
2.588030e-04 5.979376e+12
2.618270e-04 6.536028e+12
2.648862e-04 1.022454e+13
2.679813e-04 9.069690e+12
2.711125e-04 6.295582e+12
2.742803e-04 7.733814e+12
2.774851e-04 6.747548e+12
2.807273e-04 4.831182e+12
2.840074e-04 5.605156e+12
2.873259e-04 6.315325e+12
2.906831e-04 7.438478e+12
2.940796e-04 6.418075e+12
2.975157e-04 6.430321e+12
3.009920e-04 5.431076e+12
3.045089e-04 5.918735e+12
3.080669e-04 5.971132e+12
3.116665e-04 3.428493e+12
3.153081e-04 5.470941e+12
3.189923e-04 5.326033e+12
3.227195e-04 5.124858e+12
3.264903e-04 4.817536e+12
3.303052e-04 4.576705e+12
3.341646e-04 4.529793e+12
3.380691e-04 4.332162e+12
3.420192e-04 4.178128e+12
3.460155e-04 1.892908e+12
3.500585e-04 3.753849e+12
3.541487e-04 3.648706e+12
3.582867e-04 3.528460e+12
3.624731e-04 3.380067e+12
3.667084e-04 3.123557e+12
3.709931e-04 3.076805e+12
3.753279e-04 2.810866e+12
3.797134e-04 2.845540e+12
3.841501e-04 2.740547e+12
3.886387e-04 2.336720e+12
3.931797e-04 2.419799e+12
3.977738e-04 1.726518e+12
4.024215e-04 2.240071e+12
4.071236e-04 1.834451e+12
4.118806e-04 2.005022e+12
4.166931e-04 1.097484e+12
4.215620e-04 1.511241e+12
4.264876e-04 1.162643e+12
4.314709e-04 1.294062e+12
4.365124e-04 8.609068e+11
4.416128e-04 7.652666e+11
4.467727e-04 8.848461e+11
4.519930e-04 8.899824e+11
4.572743e-04 1.152146e+12
4.626172e-04 7.433896e+11
4.680226e-04 7.094868e+11
4.734912e-04 8.685535e+11
4.790237e-04 7.828689e+11
4.846208e-04 6.599661e+11
4.902833e-04 5.893794e+11
4.960119e-04 5.966813e+11
5.018075e-04 5.960581e+11
5.076708e-04 8.246657e+11
5.136027e-04 6.457310e+11
5.196038e-04 6.631022e+11
5.256750e-04 5.225710e+11
5.318172e-04 5.375160e+11
5.380312e-04 5.242149e+11
5.443178e-04 3.815755e+11
5.506778e-04 5.526183e+11
5.571121e-04 6.114154e+11
5.636216e-04 5.751751e+11
5.702072e-04 6.055952e+11
5.768697e-04 5.235891e+11
5.836101e-04 3.972442e+11
5.904292e-04 4.223259e+11
5.973281e-04 4.701825e+11
6.043075e-04 3.631093e+11
6.113684e-04 4.498073e+11
6.185119e-04 4.287761e+11
6.257388e-04 4.176604e+11
6.330502e-04 3.854666e+11
6.404470e-04 3.882711e+11
6.479303e-04 3.682029e+11
6.555009e-04 3.518446e+11
6.631601e-04 2.856839e+11
6.709087e-04 3.235527e+11
6.787479e-04 2.886012e+11
6.866786e-04 2.799271e+11
6.947020e-04 2.828102e+11
7.028192e-04 2.572306e+11
7.110312e-04 2.399327e+11
7.193392e-04 2.477379e+11
7.277442e-04 2.333029e+11
7.362475e-04 2.238216e+11
7.448501e-04 2.017891e+11
7.535532e-04 2.076543e+11
7.623580e-04 1.935314e+11
7.712657e-04 1.615668e+11
7.802775e-04 1.311854e+11
7.893945e-04 1.146474e+11
7.986181e-04 1.438705e+11
8.079495e-04 1.213710e+11
8.173899e-04 1.038743e+11
8.269406e-04 1.225424e+11
8.366029e-04 1.387896e+11
8.463781e-04 9.813796e+10
8.562675e-04 9.548845e+10
8.662725e-04 8.785308e+10
8.763944e-04 1.013364e+11
8.866345e-04 8.965497e+10
8.969943e-04 8.353716e+10
9.074751e-04 7.811559e+10
9.180784e-04 8.309536e+10
9.288056e-04 6.557709e+10
9.396581e-04 7.160825e+10
9.506375e-04 6.850100e+10
9.617451e-04 6.163600e+10
9.729825e-04 7.345024e+10
9.843512e-04 5.985757e+10
9.958527e-04 5.530280e+10
1.007489e-03 6.216565e+10
1.019261e-03 5.270396e+10
